AadhaarNumber,Name,DateOfBirth,Gender,City,State,PhoneNumber,Email
6.2718E+11,Ahana  Chauhan,25-09-2014,Male,Guntur,Assam,1283618774,aainagade@gmail.com
6.27355E+11,Adira Madan,06-11-2001,Male,Kadapa,Andhra Pradesh,9234493236,cvirk@yahoo.com
8.6894E+11,Misha Sani,16-12-2022,Other,Guntur,Meghalaya,9.19973E+11,parinaaz66@srivastava-kohli.com
1.74596E+11,Nirvi Ray,08-01-1939,Male,Dehradun,Tamil Nadu,8047807023,kaira62@yahoo.com
2.9616E+11,Gatik Dass,05-07-2020,Male,Yamunanagar,Punjab,715244929,cdugar@sandal-venkataraman.biz
1.72459E+11,Tanya Rana,15-02-2019,Female,Nellore,Goa,8581754812,bedicharvi@gmail.com
1.88301E+11,Taran Dar,30-05-1962,Other,Amroha,Chhattisgarh,4892611462,tiyatank@raj.com
1.75862E+11,Bhavin Krishna,29-07-1946,Female,Danapur,Rajasthan,3857071354,ahanda@sant-kar.org
9.96629E+11,Oorja Brahmbhatt,11-06-1966,Other,Bhiwandi,Uttarakhand,7757836740,tushar58@chatterjee-sinha.com
2.25291E+11,Pari Kalla,12-01-1944,Male,Vellore,Manipur,1928158589,aarnagade@thaman-vig.com
8.89942E+11,Nishith Sankar,31-01-1928,Female,Raipur,Maharashtra,2347783316,suhanamangat@din.com
3.37065E+11,Nishith Sandhu,13-10-1987,Male,Thrissur,Arunachal Pradesh,9.14364E+11,purab03@gmail.com
7.38016E+11,Vritika Andra,26-09-2009,Female,Visakhapatnam,Andhra Pradesh,408403016,vohraheer@sani.com
33762392220,Anika Bala,09-07-1961,Other,Thane,Arunachal Pradesh,8527106495,jayanmanda@bali.org
5.97958E+11,Vihaan Roy,30-11-1943,Other,Dibrugarh,Manipur,9.10838E+11,ivana07@saini-behl.com
4.82347E+11,Mishti Lal,16-01-1990,Female,Bathinda,Tripura,2682940058,arhaanbarman@singh.com
2.82903E+11,Anaya Gala,02-09-1992,Female,Tiruvottiyur,Odisha,8428144968,dhegde@ratti.com
5.21176E+11,Jayesh Saini,19-06-1990,Male,Gopalpur,Chhattisgarh,9.19759E+11,miraya98@gmail.com
15657020119,Navya Khanna,29-10-1987,Male,Davanagere,Manipur,9.1534E+11,schauhan@chadha.org
3.84555E+11,Armaan Bath,27-01-2014,Other,Ghaziabad,Kerala,1947802360,singhreyansh@yahoo.com
7.28079E+11,Priyansh Dar,10-01-1979,Other,Chapra,Manipur,2845236742,kavyagala@dayal-barad.com
3.59382E+11,Akarsh Chada,05-06-1959,Male,Patiala,Punjab,9.14379E+11,arnavben@kunda.biz
6.44268E+11,Vidur Gokhale,03-03-1929,Other,Munger,Arunachal Pradesh,7908030968,samarthwarrior@samra.com
4.5699E+11,Hiran Barman,02-05-1979,Male,Baranagar,Maharashtra,8540419585,ratikota@yahoo.com
2.39699E+11,Vidur Comar,26-08-1998,Female,Amravati,Tripura,9.18159E+11,shloksachdeva@balay.com
8.0652E+11,Anika Barad,06-02-1989,Female,Kishanganj,Jharkhand,5798130961,mishtisaraf@gmail.com
7.66849E+11,Inaaya  Anne,12-03-1954,Other,Dewas,Uttarakhand,4115643757,arhaan19@kari.com
3.6269E+11,Shaan Tripathi,02-01-1948,Male,Ambala,Sikkim,9.18231E+11,hridaan27@yahoo.com
53370449855,Inaaya  Shah,13-08-1977,Other,Burhanpur,Maharashtra,2599737340,mahalyakshit@yahoo.com
2.66414E+11,Jivika Ramakrishnan,30-06-1984,Other,Salem,Meghalaya,9.18319E+11,edwinraghav@dutta.com
7.49846E+11,Jhanvi Lala,27-03-1923,Female,Bijapur,Manipur,9.19231E+11,ndhar@sangha.com
5.13119E+11,Badal Kalla,28-08-1933,Male,Nashik,West Bengal,7295982815,hariritvik@gmail.com
1.38908E+11,Ritvik Lad,04-06-2015,Male,Pudukkottai,Uttarakhand,159104653,sekhonehsaan@hotmail.com
66120468333,Kiara Vaidya,19-11-1992,Other,Guwahati,Maharashtra,1463324318,cben@bahl.net
4.16874E+11,Amani Tella,28-04-1992,Male,Bikaner,Himachal Pradesh,9312200867,darshittoor@gmail.com
4.35205E+11,Indrans Krishna,16-06-1991,Male,Kulti,Uttarakhand,1030071235,mahika38@hotmail.com
8.28815E+11,Badal Keer,24-03-2015,Male,Faridabad,Tamil Nadu,8752169280,uvirk@gmail.com
5.44501E+11,Bhavin Hari,03-03-1939,Male,Ambattur,Punjab,7894002257,ojasdoctor@banik.com
3.24278E+11,Shalv Bhatt,17-02-1963,Male,Hubli–Dharwad,Haryana,7296875684,sumer97@bava.com
6.55031E+11,Eshani Shroff,08-06-1954,Female,Bidar,Nagaland,3366510028,sanarege@yahoo.com
6.52129E+11,Jayesh Borah,15-08-1958,Female,Ahmedabad,Haryana,9243566931,lavanyatank@gmail.com
6.25569E+11,Saira Bains,21-07-1986,Female,Rohtak,Chhattisgarh,5745639560,raniadasgupta@hotmail.com
6.22066E+11,Umang Basu,22-05-1991,Other,Chennai,Bihar,9.13619E+11,anya89@yahoo.com
56720206666,Alisha Sood,29-03-1943,Male,Bhalswa Jahangir Pur,Kerala,4730271011,indranilcomar@dara-varughese.com
3.31529E+11,Indranil Gade,16-02-1992,Female,Sambhal,Assam,9170460191,irataneja@yahoo.com
66571710295,Darshit De,14-03-1944,Other,Madurai,Karnataka,369052066,baiju07@yahoo.com
3.92087E+11,Nirvaan Ahluwalia,19-10-2011,Male,Kadapa,Himachal Pradesh,5709528617,echoudhury@hotmail.com
9.26613E+11,Prisha Thakur,15-03-2005,Male,New Delhi,Telangana,9.15682E+11,anvi46@yahoo.com
2.90162E+11,Biju Ramachandran,08-04-1934,Other,Gangtok,Gujarat,9246180788,inaaya-59@hotmail.com
4.22717E+11,Alisha Luthra,20-01-1971,Female,Guntakal,Sikkim,6856909840,swamymohanlal@hotmail.com
4.33896E+11,Faiyaz Grover,09-06-1950,Male,Gangtok,Odisha,5487698132,aradhya45@gara-rau.info
4.84085E+11,Yashvi Srivastava,16-11-1945,Female,Sambalpur,West Bengal,9.13781E+11,saanvi91@hotmail.com
